zipcode,filedate,totaleviction
10001,2017-03-15,2
10001,2017-03-16,4
10001,2017-03-17,1
10001,2017-03-20,1
10001,2017-03-21,2
10001,2017-03-22,2
10001,2017-03-23,4
10001,2017-03-24,1
10001,2017-03-27,1
10001,2017-03-29,13
10001,2017-03-30,1
10001,2017-03-31,3
10001,2017-04-03,2
10001,2017-04-04,2
10001,2017-04-05,4
10001,2017-04-06,4
10001,2017-04-10,2
10001,2017-04-11,2
10001,2017-04-12,7
10001,2017-04-13,4
10001,2017-04-14,3
10001,2017-04-17,6
10001,2017-04-18,3
10001,2017-04-19,2
10001,2017-04-24,1
10001,2017-04-27,2
10001,2017-04-28,1
10001,2017-05-02,1
10001,2017-05-03,6
10001,2017-05-04,15
10001,2017-05-05,2
10001,2017-05-08,2
10001,2017-05-09,6
10001,2017-05-10,2
10001,2017-05-11,6
10001,2017-05-12,1
10001,2017-05-15,5
10001,2017-05-17,1
10001,2017-05-18,2
10001,2017-05-19,4
10001,2017-05-22,1
10001,2017-05-24,2
10001,2017-05-25,3
10001,2017-05-26,2
10001,2017-05-30,1
10001,2017-06-01,3
10001,2017-06-02,5
10001,2017-06-05,6
10001,2017-06-06,3
10001,2017-06-08,10
10001,2017-06-09,5
10001,2017-06-13,7
10001,2017-06-14,28
10001,2017-06-15,5
10001,2017-06-16,6
10001,2017-06-19,1
10001,2017-06-20,2
10001,2017-06-21,4
10001,2017-06-22,2
10001,2017-06-23,1
10001,2017-06-26,1
10001,2017-06-27,4
10001,2017-06-28,3
10001,2017-06-29,2
10001,2017-06-30,1
10001,2017-07-05,1
10001,2017-07-06,3
10001,2017-07-07,3
10001,2017-07-10,4
10001,2017-07-11,2
10001,2017-07-12,6
10001,2017-07-13,4
10001,2017-07-14,3
10001,2017-07-17,23
10001,2017-07-18,5
10001,2017-07-19,1
10001,2017-07-20,7
10001,2017-07-21,4
10001,2017-07-24,1
10001,2017-07-25,3
10001,2017-07-27,6
10001,2017-07-28,2
10001,2017-07-31,2
10001,2017-08-01,1
10001,2017-08-02,6
10001,2017-08-03,5
10001,2017-08-04,2
10001,2017-08-07,9
10001,2017-08-08,5
10001,2017-08-09,2
10001,2017-08-10,1
10001,2017-08-11,1
